"DATA" "andata" "golcasa" "golfuori" "diff" "ris" "U.O" "CASA" "TRASFERTA" "p1" "px" "p2" "q1" "qx" "q2" "qris" "QUOTAU" "QUOTAO"
"120" 37977 1 1 1 0 "0" "U" "SAMPDORIA" "MODENA" 0.502008031887228 0.321285140831922 0.176706827280850 1.76 2.75 5 2.75 1.65 1.87
"121" 37977 1 2 2 0 "0" "O" "PERUGIA" "BRESCIA" 0.4308619388242 0.339718067523540 0.229419993652261 2.05 2.6 3.85 2.6 1.68 1.83
"122" 37977 1 1 1 0 "0" "U" "LECCE" "JUVENTUS" 0.147252747419742 0.263736263784809 0.58901098879545 6 3.35 1.5 3.35 2.02 1.55
"123" 37977 1 2 1 1 "1" "O" "LAZIO" "INTER" 0.354156881109139 0.305307655945384 0.340535462945477 2.5 2.9 2.6 2.5 1.9 1.63
"124" 37977 1 1 0 1 "1" "U" "CHIEVO" "ANCONA" 0.62937062907487 0.244755244933933 0.125874125991198 1.4 3.6 7 1.4 1.87 1.65
"125" 37977 1 0 0 0 "0" "U" "SIENA" "BOLOGNA" 0.502008031887228 0.321285140831922 0.176706827280850 1.76 2.75 5 2.75 1.63 1.9
"126" 37993 1 1 0 1 "1" "U" "JUVENTUS" "PERUGIA" 0.753424657342278 0.164383561832089 0.0821917808256333 1.2 5.5 11 1.2 2.1 1.55
"127" 37993 1 3 1 2 "1" "O" "INTER" "LECCE" 0.753424657342278 0.164383561832089 0.0821917808256333 1.2 5.5 11 1.2 2 1.6
"128" 37993 1 0 2 -2 "-1" "U" "ANCONA" "PARMA" 0.306122449104227 0.306122449104227 0.387755101791545 2.85 2.85 2.25 2.25 1.85 1.7
"129" 37993 1 0 3 -3 "-1" "O" "MODENA" "CHIEVO" 0.411053540904277 0.322970638829773 0.265975820265950 2.2 2.8 3.4 3.4 1.5 2.2
"130" 37993 1 2 1 1 "1" "O" "BOLOGNA" "EMPOLI" 0.546474750148867 0.281776043073687 0.171749206777446 1.65 3.2 5.25 1.65 1.7 1.85
"131" 37993 1 4 2 2 "1" "O" "BRESCIA" "SIENA" 0.409268081693492 0.333477695527742 0.257254222778766 2.2 2.7 3.5 2.2 1.8 1.75
