"SSD" "CFU" "LAUREA" "MATERIA" "STUDIO_TOT" "RAPP_CFU" "VOTO" "LEZIONI" "STUDIO_PERS"
"148" "SECS-P/03" 5 "sigad" "14202" 99 0.792 30 36 45
"1109" "MAT/06" 10 "sse" "14040" 214 0.856 27 54 160
"1419" "INF/01" 6 "sigad" "14292" 99 0.66 27 36 32
"211" "MAT/06" 8 "sigad" "14044" 580 2.9 23 40 520
"1309" "SECS-S/01" 12 "sse" "14452" 310 1.033333333 20 70 210
"1549" "SECS-P/08" 5 "sigad" "14204" 320 2.56 27 20 300
"176" "SECS-S/05" 8 "sigad" "14542" 78 0.39 23 42 36
"1438" "SECS-S/04" 5 "sigad" "14110" 166 1.328 28 30 126
"151" "SECS-S/03" 4 "sigad" "14070" 76 0.76 20 30 40
"918" "MAT/06" 10 "sse" "14040" 685 2.74 30 70 600
"908" "MAT/06" 10 "sse" "14040" 266 1.064 20 54 200
"136" "SECS-S/01" 9 "siap" "10180" 456 2.026666667 27 60 360
"737" "SECS-S/05" 5 "sse" "14276" 168 1.344 28 62 90
"1569" "SECS-S/05" 5 "sigad" "14370" 39 0.312 20 30 3
"1298" "SECS-S/05" 10 "sse" "14540" 108 0.432 25 60 48
"643" "SECS-S/01" 12 "sse" "14452" 860 2.866666667 30 70 750
"231" "SECS-S/01" 8 "sigad" "14552" 137 0.685 20 42 60
"1005" "SECS-P/07" 10 "sse" "14178" 183 0.732 23 30 144
"1018" "MAT/06" 10 "sse" "14040" 330 1.32 31 60 130
"168" "IUS/01" 4 "sigad" "14116" 186 1.86 28 14 150
"620" "SECS-S/05" 10 "sse" "10148" 62 0.248 28 34 15
"1284" "IUS/01" 4 "sigad" "14116" 132 1.32 28 20 112
"467" "SECS-S/05" 10 "sse" "14540" 88 0.352 25 30 48
"138" "SECS-S/05" 5 "siap" "10148" 148 1.184 27 40 90
"1103" "SECS-S/01" 10 "sse" "14454" 265 1.06 30 60 175
"160" "SECS-S/03" 4 "sigad" "14070" 73 0.73 24 28 40
"262" "INF/01" 2 "sigad" "14350" 115 2.3 25 15 70
"1378" "IUS/01" 4 "sigad" "14116" 36 0.36 24 12 24
"1571" "SECS-S/05" 5 "sigad" "14444" 80 0.64 27 30 25
"1447" "SECS-S/01" 8 "sigad" "14552" 128 0.64 20 38 64
"1444" "IUS/01" 4 "sigad" "14116" 137 1.37 28 24 98
"1483" "SECS-S/04" 5 "sigad" "14110" 237 1.896 22 21 216
"911" "MAT/06" 10 "sse" "14040" 140 0.56 21 40 100
"1190" "SECS-P/01" 10 "sse" "14380" 300 1.2 27 70 200
"360" "SECS-S/05" 10 "sse" "14276" 292 1.168 31 60 200
"703" "MAT/02" 6 "sse" "14270" 295 1.966666667 22 65 180
"470" "SECS-S/05" 10 "sse" "14540" 299 1.196 30 100 175
"481" "SECS-S/05" 10 "sse" "14540" 322 1.288 26 64 250
"702" "MAT/02" 6 "sse" "14270" 365 2.433333333 27 64 250
"1105" "SECS-S/01" 10 "sse" "14454" 398 1.592 24 68 300
"1453" "SECS-P/07" 6 "sigad" "14198" 62 0.413333333 27 38 20
"1411" "INF/01" 6 "sigad" "14292" 126 0.84 22 36 63
"399" "SECS-S/01" 10 "sse" "14454" 287 1.148 28 55 192
"244" "SECS-S/01" 8 "sigad" "14552" 179 0.895 20 45 100
"772" "SECS-S/01" 10 "sse" "14452" 436 1.744 27 72 320
"233" "SECS-S/01" 8 "sigad" "14552" 156 0.78 28 48 84
"849" "L-LIN/12" 11 "siap" "10140" 315 1.145454545 30 70 210
