pilota;indice;primaguida;Scuderia;Tempo;Tempo ora;gp;data
IRVINE;0;;(Jaguar);0,0009144444444444;0,0009;UNGHERIA ;13 agosto 2000
IRVINE;0;;(Jaguar);0,0013065393518519;0,0013;BELGIAN;27 agosto 2000
IRVINE;0;;(Jaguar);0,0009867013888889;0,0010;ITALIAN;10 settembre 2000
IRVINE;0;;(Jaguar);0,0008807638888889;0,0009;USA ;24 settembre 2000
IRVINE;0;;(Jaguar);0,0011215162037037;0,0011;GIAPPONE ;8 ottobre 2000
IRVINE;0;;(Jaguar);0,0011423148148148;0,0011;MALESIA ;22 ottobre 2000
FRENTZEN;1;;(Jordan);0,0010573958333333;0,0011;AUSTRALIA ;12 marzo 2000
FRENTZEN;1;;(Jordan);0,0008733217592593;0,0009;BRASILE ;26 marzo 2000
FRENTZEN;1;;(Jordan);0,0009941203703704;0,0010;SANMARINO;9 aprile 2000
FRENTZEN;1;;(Jordan);0,0009919675925926;0,0010;GRAN BRETAGNA;23 aprile 2000
FRENTZEN;1;;(Jordan);0,0009506365740741;0,0010;SPAGNA;7 maggio 2000
FRENTZEN;1;;(Jordan);0,0009123842592593;0,0009;EUROPA;21 maggio 2000
FRENTZEN;1;;(Jordan);0,0009254745370370;0,0009;MONACO (MONTECARLO);4 giugno 2000
FRENTZEN;1;;(Jordan);0,0009199421296296;0,0009;CANADA ;18 giugno 2000
FRENTZEN;1;;(Jordan);0,0008872453703704;0,0009;FRANCIA;2 luglio 2000
FRENTZEN;1;;(Jordan);0,0008338310185185;0,0008;AUSTRIA ;16 luglio 2000
FRENTZEN;1;;(Jordan);0,0012648148148148;0,0013;GERMANIA;30 luglio 2000
FRENTZEN;1;;(Jordan);0,0009088310185185;0,0009;UNGHERIA ;13 agosto 2000
FRENTZEN;1;;(Jordan);0,0012954398148148;0,0013;BELGIAN;27 agosto 2000
FRENTZEN;1;;(Jordan);0,0009813194444444;0,0010;ITALIAN;10 settembre 2000
FRENTZEN;1;;(Jordan);0,0008688310185185;0,0009;USA ;24 settembre 2000
FRENTZEN;1;;(Jordan);0,0011254976851852;0,0011;GIAPPONE ;8 ottobre 2000
FRENTZEN;1;;(Jordan);0,0011456944444444;0,0011;MALESIA ;22 ottobre 2000
TRULLI;1;1;(Jordan);0,0010590740740741;0,0011;AUSTRALIA ;12 marzo 2000
TRULLI;1;1;(Jordan);0,0008753125000000;0,0009;BRASILE ;26 marzo 2000
TRULLI;1;1;(Jordan);0,0009953935185185;0,0010;SANMARINO;9 aprile 2000
TRULLI;1;1;(Jordan);0,0010088425925926;0,0010;GRAN BRETAGNA;23 aprile 2000
TRULLI;1;1;(Jordan);0,0009491435185185;0,0009;SPAGNA;7 maggio 2000
TRULLI;1;1;(Jordan);0,0009109027777778;0,0009;EUROPA;21 maggio 2000
TRULLI;1;1;(Jordan);0,0009229861111111;0,0009;MONACO (MONTECARLO);4 giugno 2000
TRULLI;1;1;(Jordan);0,0009210763888889;0,0009;CANADA ;18 giugno 2000
TRULLI;1;1;(Jordan);0,0008873726851852;0,0009;FRANCIA;2 luglio 2000
TRULLI;1;1;(Jordan);0,0008291666666667;0,0008;AUSTRIA ;16 luglio 2000
TRULLI;1;1;(Jordan);0,0012480671296296;0,0012;GERMANIA;30 luglio 2000
TRULLI;1;1;(Jordan);0,0009174305555556;0,0009;UNGHERIA ;13 agosto 2000
TRULLI;1;1;(Jordan);0,0012895717592593;0,0013;BELGIAN;27 agosto 2000
TRULLI;1;1;(Jordan);0,0009777430555556;0,0010;ITALIAN;10 settembre 2000
TRULLI;1;1;(Jordan);0,0008681250000000;0,0009;USA ;24 settembre 2000
TRULLI;1;1;(Jordan);0,0011305439814815;0,0011;GIAPPONE ;8 ottobre 2000
TRULLI;1;1;(Jordan);0,0011447800925926;0,0011;MALESIA ;22 ottobre 2000
